epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1642.92,0.15669,7.27435,0.60529,0.14356,0.9095,0.98575,0.98568,0.99188,0.97279,0.22343,0.21015,0.1144,0.02505,0.25465,6.70372,0.45069,0.25529,0.60699,0.00332686,0.00332686,0.00332686
2,4173.67,0.1591,4.41051,0.42868,0.1472,0.90684,0.98539,0.98319,0.99214,0.97192,0.70194,0.64743,0.61942,0.30316,0.26301,4.25134,0.36167,0.25787,0.61238,0.00652832,0.00652832,0.00652832
3,5003.24,0.16914,3.97102,0.36551,0.15652,0.91001,0.98149,0.98101,0.99312,0.97115,0.69937,0.62142,0.62744,0.27047,0.28785,4.41188,0.31928,0.26543,0.62766,0.00959778,0.00959778,0.00959778
4,7266.1,0.19472,3.71646,0.32129,0.18157,0.9202,0.98136,0.98568,0.98858,0.96137,0.77369,0.6675,0.64781,0.39415,0.28668,3.71368,0.2976,0.28527,0.62457,0.009406,0.009406,0.009406
5,7793.97,0.20515,3.51102,0.28658,0.18959,0.92331,0.97967,0.98257,0.9892,0.9568,0.7434,0.69054,0.63696,0.42069,0.31583,3.55164,0.27823,0.30166,0.66216,0.009208,0.009208,0.009208
6,9757.19,0.20988,3.49534,0.26801,0.18903,0.92414,0.97831,0.98283,0.98935,0.95868,0.7738,0.68151,0.67853,0.46425,0.2849,3.62007,0.26886,0.26589,0.61873,0.00901,0.00901,0.00901
7,11500,0.21507,3.4249,0.25602,0.19409,0.92852,0.98329,0.98412,0.98875,0.95438,0.74395,0.67933,0.6338,0.41846,0.29404,3.52663,0.26013,0.29548,0.64354,0.008812,0.008812,0.008812
8,12475.2,0.21453,3.37024,0.24759,0.19471,0.92754,0.98195,0.98217,0.98873,0.95539,0.75466,0.69707,0.65524,0.46608,0.32316,3.38581,0.25277,0.27945,0.66912,0.008614,0.008614,0.008614
9,14259.7,0.21622,3.34649,0.24087,0.19782,0.92888,0.9819,0.98506,0.9894,0.96095,0.75951,0.69615,0.69761,0.49044,0.2938,3.44381,0.24972,0.29406,0.6428,0.008416,0.008416,0.008416
10,16493.1,0.21496,3.30137,0.23283,0.19653,0.92949,0.98193,0.98599,0.98989,0.9605,0.78088,0.69925,0.7056,0.51601,0.29887,3.25306,0.2427,0.30347,0.64443,0.008218,0.008218,0.008218
